Participant Private ID,UTC Date and Time,Experiment Version,Participant Device,Participant Browser,randomiser-evbs,attention_start,attention_start object-14 Quantised,consent1,consent2,consent3,consent4,recontact,recontact object-19 Quantised,age_month,age_year,gender,gender_other,worksit,worksit_other,education,education_other,ideology,partisanship,partisanship_other,conservative_rating,labour_rating,libdem_rating,green_rating,reform_rating,crt1,crt2,crt3,o_immigration,o_climate,o_punishment,o_teaculture,o_brain,attention_check,o_discrimination,o_cats,o_selfenhancement,o_adoption,o_gender,dog01,dog02,dog03,dog04,dog05,dog06,dog07,dog08,dog09,dog10,dog11,attention_end,age_corrected
11694706,12/09/2024 11:32:21,38,Desktop or Laptop,Edge 128.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,7,34,male,,Employed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Moderate,Labour,,24,69,52,25,36,8,5,20,Neutral,Strongly agree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Disagree,Neutral,Yes,34
11694708,12/09/2024 11:32:24,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,6,36,male,,Employed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Left,Green,,4,53,45,82,0,4,50,39,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Yes,36
11694709,12/09/2024 11:32:25,38,Desktop or Laptop,Firefox 130.0,Start M,Yes,1,1,1,1,1,Yes,1,3,27,female,,Employed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Extremely left,__other,no current party affiliations,0,14,15,32,0,4,10,20,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Yes,27
11694710,12/09/2024 11:32:26,38,Desktop or Laptop,Chrome 127.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,9,33,female,,Employed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Left,Labour,,8,71,39,70,1,8,10,20,Neutral,Strongly agree,Disagree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Agree,Disagree,Neutral,Yes,33
11694713,12/09/2024 11:32:55,38,Desktop or Laptop,Chrome 128.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,9,32,male,,Employed,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Right,Conservative,,90,20,1,19,0,8,10,39,Neutral,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Disagree,Strongly agree,Strongly disagree,Neutral,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Yes,32
11694716,12/09/2024 11:33:14,38,Desktop or Laptop,Chrome 128.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,0,35,female,,Employed,,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",,Left,Labour,,10,75,50,75,0,4,10,39,Disagree,Agree,Neutral,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Disagree,Yes,35
11694717,12/09/2024 11:33:24,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,4,37,male,,Employed,,__other,Apprenticeship,Slightly right,Reform UK,,40,13,27,0,63,8,10,39,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Strongly agree,Neutral,Yes,37
11694726,12/09/2024 11:34:00,38,Desktop or Laptop,Edge 128.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,3,29,female,,Employed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Left,Liberal Democrat,,14,72,93,62,2,8,10,5,Neutral,Agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Strongly agree,Disagree,Agree,Yes,29
11694729,12/09/2024 11:35:32,38,Desktop or Laptop,Chrome 127.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,11,28,female,,Self-employed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Left,Liberal Democrat,,0,35,81,83,3,4,10,39,Strongly disagree,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Disagree,Neutral,Neutral,Disagree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Yes,28
11694730,12/09/2024 11:34:33,38,Desktop or Laptop,Edge 128.0.0.0,Start P,Yes,1,1,1,1,1,No,2,8,39,male,,Employed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Right,Reform UK,,50,35,20,25,75,8,50,39,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Neutral,Strongly agree,Neutral,Agree,Yes,39
11694731,12/09/2024 11:34:32,38,Desktop or Laptop,Firefox 130.0,Start M,Yes,1,1,1,1,1,Yes,1,11,20,male,,At university,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Extremely left,Labour,,0,80,54,88,0,8,10,39,Disagree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Disagree,Neutral,Yes,20
11694732,12/09/2024 11:34:36,38,Desktop or Laptop,Chrome 128.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,8,35,male,,Employed,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Slightly left,Green,,3,34,49,98,0,8,10,39,Disagree,Neutral,Disagree,Neutral,Neutral,Strongly agree,Agree,Agree,Strongly disagree,Agree,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Agree,Disagree,Strongly disagree,Yes,35
