subj_idx,commission_errors,commission_errors_r,omission_errors,go_accuracy,nogo_accuracy,overall_accuracy,rt_go_avg,rt_nogo_avg
190,10,46,3,98.64864864864865,82.45614035087719,95.3405017921147,302.02146119804627,274.4500000119195
191,24,32,3,98.62385321100918,56.36363636363636,90.10989010989012,272.6147906976747,252.3874999999983
192,10,46,2,99.09909909909909,82.14285714285714,95.68345323741008,317.10318186283286,270.09000006199057
193,19,37,8,96.41255605381166,66.66666666666666,90.35714285714286,343.275813953545,337.6368421071399
194,12,44,1,99.55156950672645,78.94736842105263,95.35714285714286,290.05000000001087,249.94166666669966
195,21,35,4,98.20627802690582,63.1578947368421,91.07142857142857,323.0589040971763,281.40476189511054
196,13,43,1,99.55156950672645,77.19298245614034,95,310.98198198198196,271.7692307692308
197,12,44,9,95.96412556053812,78.94736842105263,92.5,325.0672896452023,308.99166652360873
198,9,47,3,98.65470852017937,84.21052631578947,95.71428571428572,347.57454545150875,334.12222222023735
199,21,35,8,96.38009049773756,62.5,89.53068592057761,307.9043192488255,283.03238095238476
200,5,51,2,99.10313901345292,91.07142857142857,97.4910394265233,298.5140271602711,281.64000000715606
201,28,28,14,93.36492890995261,48.148148148148145,84.15094339622642,308.2162436548312,284.9892857142892
202,15,41,2,99.10313901345292,73.68421052631578,93.92857142857143,337.7126696829863,308.8999999995974
203,13,43,2,99.10313901345292,77.19298245614034,94.64285714285714,309.62760180464045,286.36153845557084
204,14,42,3,98.64864864864865,75.43859649122807,93.9068100358423,289.15205479337675,265.54285713859593
205,27,29,7,96.66666666666667,50,87.12121212121212,296.1571428568502,247.03703703703326
206,36,20,2,99.0909090909091,36.84210526315789,86.28158844765343,262.5444953909699,223.13888885908332
207,15,41,8,96.41255605381166,73.68421052631578,91.78571428571428,346.01441864856434,304.82000003814073
208,31,25,37,83.40807174887892,44.642857142857146,75.62724014336918,387.9876344086489,373.2483870968018
209,16,40,5,97.75784753363229,71.9298245614035,92.5,341.4032110121431,301.53125000409636
210,9,47,6,97.30941704035875,84.21052631578947,94.64285714285714,369.75078341013335,335.20444444445377
211,13,43,18,91.92825112107623,77.19298245614034,88.92857142857142,404.58292682944193,372.7615384638305
212,23,33,2,99.09909909909909,59.64912280701754,91.0394265232975,303.4768181933329,268.8521739210751
213,21,35,8,96.41255605381166,62.5,89.6057347670251,364.4386046538167,324.89523809849993
214,16,40,6,97.30941704035875,71.9298245614035,92.14285714285714,368.003410138249,315.64000000000306
215,15,41,6,97.2972972972973,73.68421052631578,92.47311827956989,330.84212962926296,276.99333333293714
216,15,41,1,99.55156950672645,73.68421052631578,94.28571428571428,310.8063063063197,272.0933333333504
217,23,33,4,98.1651376146789,59.64912280701754,90.18181818181819,313.07476635514877,282.3043478260895
218,14,42,1,99.55156950672645,75.43859649122807,94.64285714285714,316.39819818655377,286.3857142750754
219,13,43,4,98.20627802690582,77.19298245614034,93.92857142857143,326.98036529680303,285.90769230768024
220,18,38,5,97.75784753363229,68.42105263157895,91.78571428571428,352.3711009178119,304.5611111114235
221,10,46,8,96.41255605381166,82.45614035087719,93.57142857142857,373.14604650608175,324.08999998570073
222,20,36,5,97.75784753363229,64.91228070175438,91.07142857142857,311.8055045871523,279.66499999988883
223,8,48,4,98.18181818181819,85.45454545454545,95.63636363636364,290.8513888052257,263.37499989866046
224,38,18,8,96.29629629629629,32.142857142857146,83.08823529411765,293.9158653860941,261.3368421067157
225,8,48,2,99.10313901345292,85.96491228070175,96.42857142857143,354.78597286254575,318.71250000298096
226,19,37,11,95.06726457399103,66.66666666666666,89.28571428571429,385.7122641727612,349.5473684448922
227,26,30,1,99.54954954954955,54.385964912280706,90.32258064516128,287.28054298642536,256.88461538461536
228,21,35,5,97.72727272727273,61.81818181818181,90.54545454545455,280.0855814794047,262.93809535162984
229,18,38,5,97.75784753363229,68.42105263157895,91.78571428571428,305.95770642201785,285.84666666666294
230,17,39,7,96.8609865470852,70.17543859649122,91.42857142857143,310.798148148781,284.67647058919744
231,33,23,10,95.4954954954955,40,84.47653429602889,332.1075471674514,299.0060606032599
232,6,50,2,99.10313901345292,89.47368421052632,97.14285714285714,328.0285067895658,292.0000000019888
233,25,31,11,94.88372093023256,55.35714285714286,86.71586715867159,333.8328431369315,281.05599999953876
234,13,43,6,97.2972972972973,77.19298245614034,93.1899641577061,391.71296296296293,355.84615384615387
235,11,45,0,100,80.7017543859649,96.07142857142857,307.4538116570499,263.318181822513
236,20,36,6,97.30941704035875,64.91228070175438,90.71428571428571,332.6101382537379,294.9150000061087
237,21,35,14,93.72197309417041,63.1578947368421,87.5,365.55311009142355,322.40476195471865
238,18,38,19,91.4798206278027,68.42105263157895,86.78571428571429,304.6441174380915,272.8555553595191
239,19,37,1,99.5475113122172,66.66666666666666,92.80575539568345,260.1481818181663,220.33684210475928
240,19,37,5,97.74774774774775,66.66666666666666,91.39784946236558,306.09216591988076,306.26842107584986
241,18,38,11,94.97716894977168,66.66666666666666,89.37728937728939,300.10048081324544,271.61111116012114
242,26,30,7,96.83257918552036,54.385964912280706,88.12949640287769,331.775700934573,296.76153846153636
243,19,37,10,95.51569506726457,66.66666666666666,89.64285714285715,387.3122065720641,350.7052631572189
244,30,26,6,97.27272727272728,47.368421052631575,87.00361010830325,325.932243078223,286.2066667524952
245,42,14,10,95.41284403669725,25,81.02189781021897,311.40528846082805,284.8523809515824
246,25,31,5,97.74774774774775,55.35714285714286,89.20863309352518,348.4115207374176,322.98800000010726
247,11,45,0,100,80.7017543859649,96.07142857142857,330.7587443976665,301.0636363675625
248,10,46,3,98.65470852017937,82.14285714285714,95.3405017921147,299.0650000034967,238.80000000476429
249,20,36,5,97.39583333333334,61.53846153846154,89.75409836065575,279.3256684851527,222.00500004768983
250,9,47,9,95.96412556053812,84.21052631578947,93.57142857142857,334.6724299173491,325.67777778043336
251,27,29,7,96.75925925925925,50,87.4074074074074,261.19377990184415,242.81851851586867
252,19,37,2,99.10714285714286,66.07142857142857,92.5,306.4923423424247,269.3736842106285
253,18,38,6,97.32142857142857,67.85714285714286,91.42857142857143,326.8784403670403,298.8722222228866
254,17,39,7,96.875,69.64285714285714,91.42857142857143,338.7225806449671,317.3352941174714
255,0,56,224,0,100,20,,
256,11,45,9,95.96412556053812,80.35714285714286,92.831541218638,334.0406542069487,311.0363636493593
257,27,29,7,96.875,51.78571428571429,87.85714285714286,327.47557603668326,302.73703703687136
258,30,26,22,90.13452914798206,45.45454545454545,81.29496402877699,370.92750746390504,347.44880000104314
259,14,42,13,94.0909090909091,75,90.21739130434783,385.4173913043279,355.98571428558455
260,15,41,4,98.19004524886877,73.21428571428571,93.14079422382672,356.2548387096564,296.7266666667822
261,20,36,3,98.66071428571429,64.28571428571429,91.78571428571428,331.8461538461608,289.65000000000146
262,26,30,7,96.875,51.85185185185185,88.12949640287769,340.06451612860417,306.707692307813
263,18,38,6,97.2972972972973,67.85714285714286,91.36690647482014,336.1111111114497,302.30555555596624
264,21,35,9,95.94594594594594,62.5,89.20863309352518,323.01830985886875,287.91904761891783
265,16,40,26,88.0184331797235,70.9090909090909,84.55882352941177,357.6575916256423,309.5375000029817
266,14,42,1,99.55357142857143,75,94.64285714285714,328.6547085205446,285.60714285741517
267,23,33,4,98.21428571428571,58.92857142857143,90.35714285714286,310.34590906966696,268.58260866713715
268,18,38,1,99.54954954954955,67.27272727272727,93.14079422382672,286.8832579185473,257.43333333328906
269,0,56,224,0,100,20,,
270,33,23,34,84.82142857142857,41.07142857142857,76.07142857142857,351.52210522099386,313.5484848008147
271,24,32,11,93.95604395604396,51.02040816326531,84.84848484848484,349.3081871455856,303.95833335022934
272,13,43,1,99.54954954954955,75.47169811320755,94.9090909090909,325.6904977377693,289.27692305859034
273,11,45,8,96.42857142857143,80.35714285714286,93.21428571428572,356.59074075235685,316.2363636434126
274,18,38,33,85.20179372197309,67.85714285714286,81.72043010752688,328.02210531046296,288.17777783738507
275,12,44,2,99.10714285714286,78.57142857142857,95,333.06036036044077,303.5000000000734
276,17,39,5,97.76785714285714,69.64285714285714,92.14285714285714,291.0502283119399,264.91764705961566
277,34,22,55,75.33632286995515,39.285714285714285,68.10035842293907,416.824285714292,411.7105882353017
278,19,37,7,96.875,66.07142857142857,90.71428571428571,353.90184331668206,320.65789473597437
279,4,52,3,98.63636363636363,92.5925925925926,97.44525547445255,303.14211981566734,233.42499999998836
280,15,41,2,99.10714285714286,73.21428571428571,93.92857142857143,320.04684684673947,286.9599999998046
281,10,46,1,99.55357142857143,82.14285714285714,96.07142857142857,299.38295964689695,270.9100000083461
282,26,30,6,97.27272727272728,53.57142857142857,88.40579710144928,303.6775700934595,275.4961538463803
283,18,38,5,97.74774774774775,67.85714285714286,91.72661870503596,323.0921658199484,313.82222216924777
284,15,41,7,96.875,73.21428571428571,92.14285714285714,312.22350230418914,276.7533333333781
